D_number,date_UTC,Latitude,Longitude
298,2023-04-24 07:18:51,54.4984,10.16615
298,2023-04-24 07:23:54,54.49933,10.16634
298,2023-04-24 08:03:50,54.51008,10.19727
298,2023-04-24 08:28:52,54.5117,10.2004
298,2023-04-24 08:38:50,54.51213,10.20042
298,2023-04-24 08:48:51,54.51213,10.20038
298,2023-04-24 08:53:51,54.51218,10.20091
298,2023-04-24 09:08:59,54.51229,10.20261
298,2023-04-24 09:13:54,54.51226,10.20321
298,2023-04-24 09:33:55,54.51214,10.20561
298,2023-04-24 09:38:51,54.51189,10.20619
298,2023-04-24 09:48:50,54.51179,10.20761
298,2023-04-24 09:53:52,54.51163,10.20834
298,2023-04-24 09:58:52,54.51153,10.20907
298,2023-04-24 10:28:51,54.51082,10.21342
298,2023-04-24 10:33:47,54.51068,10.21409
298,2023-04-24 10:38:48,54.51052,10.21478
298,2023-04-24 10:48:42,54.51021,10.21608
298,2023-04-24 10:53:43,54.51003,10.21673
298,2023-04-24 10:58:43,54.50985,10.21739
298,2023-04-24 11:18:43,54.50916,10.21956
298,2023-04-24 11:23:41,54.50899,10.22014
298,2023-04-24 11:33:40,54.5087,10.22119
298,2023-04-24 11:48:41,54.50808,10.22314
298,2023-04-24 11:58:41,54.50769,10.22452
298,2023-04-24 12:03:53,54.50744,10.22516
298,2023-04-24 12:09:52,54.50721,10.22593
298,2023-04-24 12:18:43,54.50693,10.22722
298,2023-04-24 12:23:51,54.50674,10.22786
298,2023-04-24 12:43:47,54.50617,10.2308
298,2023-04-24 13:03:43,54.50554,10.23396
298,2023-04-24 13:23:42,54.50492,10.2372
298,2023-04-24 13:58:44,54.50371,10.24284
298,2023-04-24 14:28:37,54.50264,10.24733
298,2023-04-24 14:48:38,54.50198,10.25054
298,2023-04-24 14:53:32,54.50178,10.25138
298,2023-04-24 14:58:33,54.50164,10.25215
298,2023-04-24 15:03:34,54.50142,10.2529
298,2023-04-24 15:23:34,54.50094,10.2561
298,2023-04-24 15:28:28,54.50081,10.25687
298,2023-04-24 15:33:31,54.50061,10.25769
298,2023-04-24 15:38:26,54.5004,10.2585
298,2023-04-24 15:48:24,54.50006,10.26003
298,2023-04-24 15:58:26,54.49959,10.26159
298,2023-04-24 16:08:28,54.49913,10.26316
298,2023-04-24 16:13:29,54.499,10.26402
298,2023-04-24 16:28:25,54.49844,10.26653
